所属模块,用例名称,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,类型可选值列表,阶段可选值列表
/(未命名模块/硬件测试),TC_001,,"1. Step1
2. Step2
3. Step3","1. Step1
2. Step2
3. Step3",,2,功能测试,功能测试阶段,"单元测试
接口测试
功能测试
安装部署
配置相关
性能测试
安全相关
其他","单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段"
/(未命名模块/硬件测试),TC_002,,,,,2,功能测试,功能测试阶段,,
/(未命名模块/一致性测试),TC_003,,,,,2,功能测试,功能测试阶段,,
/(未命名模块/一致性测试),TC_004,,,,,2,功能测试,功能测试阶段,,
/(未命名模块/单元测试),TC_005,,,,,2,功能测试,功能测试阶段,,
/(未命名模块/单元测试),TC_006,,,,,2,功能测试,功能测试阶段,,
/(未命名模块/功能测试),TC_007,,,,,2,功能测试,功能测试阶段,,
/(未命名模块/功能测试),TC_008,,,,,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_001,获取为PduR配置的Id序号,1. 调用PduR_GetConfigurationId,1. 返回配置的ConfigId,,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_002,路由路径配置为组播操作且CTPduRSrcModuleName == &lt;Up&gt;,"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;User:Up&gt;Transmit(PduRSourcePduHandleId, info)","1. 
2. 
3. PduR_&lt;User:Up&gt;Transmit返回E_OK；

&lt;LoTp&gt;_Transmit未被调用；

&lt;Lo&gt;_Transmit被调用；",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_003,路由路径配置为单播操作且CTPduRSrcModuleName == &lt;Up&gt;,"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;User:Up&gt;Transmit(PduRSourcePduHandleId, info)","1. 
2. 
3. PduR_&lt;User:Up&gt;Transmit返回E_OK



若CTPduRDestModuleName == &lt;LoTp&gt;验证&lt;LoTp&gt;_Transmit被调用且返回值为E_OK



若CTPduRDestModuleName == &lt;Lo&gt;验证&lt;Lo&gt;_Transmit被调用且返回值为E_OK",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_004,路由路径配置为单播操作&amp;&amp;PduRTriggertransmit == true&amp;&amp;PduRDestPduDataProvision == PDUR_TRIGGERTRANSMIT,"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;Lo&gt;TriggerTransmit(PduRDestPduHandleId, info)","1. 
2. 
3. PduR_&lt;Lo&gt;TriggerTransmit返回E_OK



&lt;Up&gt;_TriggerTransmit被调用",,2,功能测试,功能测试阶段,,
